Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV204;Savannah;Savannah;Savannah;;Savannah;;;;;;;;;
PROV205;Charleston;Charleston;Charleston;;Charleston;;;;;;;;;
PROV206;Columbia;Colombie;Columbia;;Columbia;;;;;;;;;
PROV207;Greenville;Greenville;Greenville;;Greenville;;;;;;;;;
PROV208;Raleigh;Raleigh;Raleigh;;Raleigh;;;;;;;;;
PROV209;Charlotte;Charlotte;Charlotte;;Charlotte;;;;;;;;;
PROV210;Wilmington;Wilmington;Wilmington;;Wilmington;;;;;;;;;
PROV212;Manassas;Manassas;Manassas;;Manassas;;;;;;;;;
PROV213;Fredericksburg;Fredericksburg;Fredericksburg;;Fredericksburg;;;;;;;;;
PROV214;Norfolk;Norfolk;Norfolk;;Norfolk;;;;;;;;;
PROV215;Staunton;Staunton;Staunton;;Staunton;;;;;;;;;
PROV216;Roanoke;Roanoke;Roanoke;;Roanoke;;;;;;;;;
PROV219;Baltimore;Baltimore;Baltimore;;Baltimore;;;;;;;;;
PROV221;Hagerstown;Hagerstown;Hagerstown;;Hagerstown;;;;;;;;;
PROV222;Dover;Dover;Dover;;Dover;;;;;;;;;
PROV223;Philadelphia;Philadelphia;Philadelphia;;Filadelfia;;;;;;;;;
PROV224;Scranton;Scranton;Scranton;;Scranton;;;;;;;;;
PROV225;Williamsport;Williamsport;Williamsport;;Williamsport;;;;;;;;;
PROV226;Harrisburg;Harrisburg;Harrisburg;;Harrisburg;;;;;;;;;
PROV227;Pittsburgh;Pittsburgh;Pittsburgh;;Pittsburgh;;;;;;;;;
PROV228;Erie;Erie;Erie;;Erie;;;;;;;;;
PROV229;Newark;Newark;Newark;;Newark;;;;;;;;;
PROV230;Trenton;Trenton;Trenton;;Trenton;;;;;;;;;
PROV232;New York;New York;New York;;Nueva York;;;;;;;;;
PROV233;Long Island;Long Island;Long Island;;Long Island;;;;;;;;;
PROV234;Albany;Albany;Albany;;Albany;;;;;;;;;
PROV235;Binghamton;Binghamton;Binghamton;;Binghamton;;;;;;;;;
PROV236;Buffalo;Buffalo;Buffalo;;Buffalo;;;;;;;;;
PROV237;Rochester;Rochester;Rochester;;Rochester;;;;;;;;;
PROV238;Syracuse;Syracuse;Syracuse;;Syracuse;;;;;;;;;
PROV239;Watertown;Watertown;Watertown;;Watertown;;;;;;;;;
PROV240;Plattsburgh;Plattsburgh;Plattsburgh;;Plattsburgh;;;;;;;;;
PROV241;Hartford;Hartford;Hartford;;Hartford;;;;;;;;;
PROV242;Providence;Providence;Providence;;Providence;;;;;;;;;
PROV243;Boston;Boston;Boston;;Boston;;;;;;;;;
PROV244;New Bedford;New Bedford;New Bedford;;New Bedford;;;;;;;;;
PROV245;Pittsfield;Pittsfield;Pittsfield;;Pittsfield;;;;;;;;;
PROV246;Burlington;Burlington;Burlington;;Burlington;;;;;;;;;
PROV247;Concord;Concord;Concord;;Concord;;;;;;;;;
PROV248;Lewiston;Lewiston;Lewiston;;Lewiston;;;;;;;;;
PROV249;Bangor;Bangor;Bangor;;Bangor;;;;;;;;;
PROV250;Caribou;Caribou;Caribou;;Caribou;;;;;;;;;
PROV252;Island;Islande;Island;;Islandia;;;;;;;;;
PROV253;F熳鷫rne;姤es F廨o?Far鐹rinseln;;Islas Faroe;;;;;;;;;
PROV254;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;
PROV255;Londonderry;Londonderry;Londonderry;;Londonderry;;;;;;;;;
PROV256;Armagh;Armagh;Armagh;;Armagh;;;;;;;;;
PROV257;Donegal;Donegal;Donegal;;Donegal;;;;;;;;;
PROV258;Galway;Galway;Galway;;Galway;;;;;;;;;
PROV259;Sligo;Sligo;Sligo;;Sligo;;;;;;;;;
PROV260;Cork;Cork;Cork;;Cork;;;;;;;;;
PROV261;Limerick;Limerick;Limerick;;Limerick;;;;;;;;;
PROV262;Waterford;Waterford;Waterford;;Waterford;;;;;;;;;
PROV263;Dublin;Dublin;Dublin;;Dubl璯;;;;;;;;;
PROV264;Kildare;Kildare;Kildare;;Kildare;;;;;;;;;
PROV265;Wexford;Wexford;Wexford;;Wexford;;;;;;;;;
PROV266;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;
PROV267;Inverness;Inverness;Inverness;;Inverness;;;;;;;;;
PROV268;Dundee;Dundee;Dundee;;Dundee;;;;;;;;;
PROV269;Edinburgh;Edinburgh;Edinburgh;;Edimburgo;;;;;;;;;
PROV270;Stirling;Stirling;Stirling;;Stirling;;;;;;;;;
PROV271;Glasgow;Glasgow;Glasgow;;Glasgow;;;;;;;;;
PROV272;Dumfries;Dumfries;Dumfries;;Dumfries;;;;;;;;;
PROV273;Cardiff;Cardiff;Cardiff;;Cardiff;;;;;;;;;
PROV274;Cardigan;Cardigan;Cardigan;;Cardigan;;;;;;;;;
PROV275;Llandrindod;Llandrindod;Llandrindod;;Llandrindod;;;;;;;;;
PROV276;Holyhead;Holyhead;Holyhead;;Holyhead;;;;;;;;;
PROV277;Liverpool;Liverpool;Liverpool;;Liverpool;;;;;;;;;
PROV278;Manchester;Manchester;Manchester;;Manchester;;;;;;;;;
PROV279;Carlisle;Carlisle;Carlisle;;Carlisle;;;;;;;;;
PROV280;Newcastle-upon-Tyne;Newcastle-upon-Tyne;Newcastle-upon-Tyne;;Newcastle-upon-Tyne;;;;;;;;;
PROV281;Hull;Coque;Hull;;Hull;;;;;;;;;
PROV282;Leeds;Leeds;Leeds;;Leeds;;;;;;;;;
PROV283;Sheffield;Sheffield;Sheffield;;Sheffield;;;;;;;;;
PROV284;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;
PROV285;Chester;Chester;Chester;;Chester;;;;;;;;;
PROV286;Shrewsbury;Shrewsbury;Shrewsbury;;Shrewsbury;;;;;;;;;
PROV287;Coventry;Coventry;Coventry;;Coventry;;;;;;;;;
PROV288;Nottingham;Nottingham;Nottingham;;Nottingham;;;;;;;;;
PROV289;Leicester;Leicester;Leicester;;Leicester;;;;;;;;;
PROV290;Lincoln;Lincoln;Lincoln;;Lincoln;;;;;;;;;
PROV291;Cambridge;Cambridge;Cambridge;;Cambridge;;;;;;;;;
PROV292;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;
PROV293;Chelmsford;Chelmsford;Chelmsford;;Chelmsford;;;;;;;;;
PROV294;Oxford;Oxford;Oxford;;Oxford;;;;;;;;;
PROV295;St Albans;St Albans;St Albans;;St Albans;;;;;;;;;
PROV296;Bristol;Bristol;Bristol;;Bristol;;;;;;;;;
PROV297;Salisbury;Salisbury;Salisbury;;Salisbury;;;;;;;;;
PROV298;Bath;Bath;Bath;;Bath;;;;;;;;;
PROV299;Plymouth;Plymouth;Plymouth;;Plymouth;;;;;;;;;
PROV300;London;London;London;;Londres;;;;;;;;;
PROV301;Canterbury;Canterbury;Canterbury;;Canterbury;;;;;;;;;
PROV302;Brighton;Brighton;Brighton;;Brighton;;;;;;;;;
PROV303;Southampton;Southampton;Southampton;;Southampton;;;;;;;;;
PROV304;Isle of Man;姤e de Man;Isle of Man;;Isla de Man;;;;;;;;;
PROV307;Hammerfest;Hammerfest;Hammerfest;;Hammerfest;;;;;;;;;
PROV309;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;
PROV310;Stavanger;Stavanger;Stavanger;;Stavanger;;;;;;;;;
PROV311;Skien;Skien;Skien;;Skien;;;;;;;;;
PROV312;Drammen;Drammen;Drammen;;Drammen;;;;;;;;;
PROV313;Christiania;Christiania;Christiania;;Christiania;;;;;;;;;
PROV314;Hamar;Hamar;Hamar;;Hamar;;;;;;;;;
PROV315;Lillehammer;Lillehammer;Lillehammer;;Lillehammer;;;;;;;;;
PROV316;Frederiksstad;Frederiksstad;Frederiksstad;;Frederiksstad;;;;;;;;;
PROV317;G銥le;G銥le;G銥le;;G銥le;;;;;;;;;
PROV318;Sundsvall;Sundsvall;Sundsvall;;Sundsvall;;;;;;;;;
PROV319;珺tersund;珺tersund;珺tersund;;珺tersund;;;;;;;;;
PROV320;Ume?Ume?Ume?;Umea;;;;;;;;;
PROV321;Lule?Lule?Lule?;Lulea;;;;;;;;;
PROV322;Stockholm;Stockholm;Stockholm;;Estocolmo;;;;;;;;;
PROV323;Falun;Falun;Falun;;Falun;;;;;;;;;
PROV324;Uppsala;Uppsala;Uppsala;;Uppsala;;;;;;;;;
PROV325;Norrk鞿ing;Norrk鞿ing;Norrk鞿ing;;Norrk鞿ing;;;;;;;;;
PROV326;V酲ter廛;V酲ter廛;V酲ter廛;;V酲teras;;;;;;;;;
PROV327;琀ebro;琀ebro;琀ebro;;琀ebro;;;;;;;;;
PROV328;Karlstad;Karlstad;Karlstad;;Karlstad;;;;;;;;;
PROV329;G飆eborg;Gothenburg;G飆eburg;;Gotemburgo;;;;;;;;;
PROV330;Bor廛;Bor廛;Bor廛;;Bor廛;;;;;;;;;
PROV331;Gotland;Gotland;Gotland;;Gotland;;;;;;;;;
PROV332;Kalmar;Kalmar;Kalmar;;Kalmar;;;;;;;;;
PROV333;V鉶j?V鉶j?V鉶j?;V鉶j?;;;;;;;;
PROV334;Malm?Malm?Malm?;Malm?;;;;;;;;
PROV335;Karlskrona;Karlskrona;Karlskrona;;Karlskrona;;;;;;;;;
PROV336;Oulu;Oulu;Oulu;;Oulu;;;;;;;;;
PROV337;Kajaani;Kajaani;Kajaani;;Kajaani;;;;;;;;;
PROV338;Tornio;Tornio;Tornio;;Tornio;;;;;;;;;
PROV339;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;
PROV340;Kotka;Kotka;Kotka;;Kotka;;;;;;;;;
PROV341;Mikkeli;Mikkeli;Mikkeli;;Mikkeli;;;;;;;;;
PROV342;Kuopio;Kuopio;Kuopio;;Kuopio;;;;;;;;;
PROV343;Helsinki;Helsinki;Helsinki;;Helsinki;;;;;;;;;
PROV344;H鄝eenlinna;H鄝eenlinna;Hameenlinna;;Hameenlinna;;;;;;;;;
PROV345;Turku;Turku;Turku;;Turku;;;;;;;;;
PROV346;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;
PROV347;Tampere;Tampere;Tampere;;Tampere;;;;;;;;;
PROV348;儻and Islands;姤es 儻and;Aland-Inseln;;Islas Aland;;;;;;;;;
PROV349;Reval;Reval;Reval;;Reval;;;;;;;;;
PROV352;Dorpat;Dorpat;Dorpat;;Dorpat;;;;;;;;;
PROV354;Riga;Riga;Riga;;Riga;;;;;;;;;
PROV369;Kiel;Kiel;Kiel;;Kiel;;;;;;;;;
PROV370;Flensburg;Flensburg;Flensburg;;Flensburg;;;;;;;;;
PROV373;Odense;Odense;Odense;;Odense;;;;;;;;;
PROV374;Bornholm;Bornholm;Bornholm;;Bornholm;;;;;;;;;
PROV375;Amsterdam;Amsterdam;Amsterdam;;Amsterdam;;;;;;;;;
PROV376;Rotterdam;Rotterdam;Rotterdam;;Rotterdam;;;;;;;;;
PROV377;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;
PROV378;Middelburg;Middelburg;Middelburg;;Middelburg;;;;;;;;;
PROV379;Eindhoven;Eindhoven;Eindhoven;;Eindhoven;;;;;;;;;
PROV380;Breda;Breda;Breda;;Breda;;;;;;;;;
PROV382;Arnhem;Arnhem;Arnheim;;Arnhem;;;;;;;;;
PROV383;Groningen;Groningen;Groningen;;Groninga;;;;;;;;;
PROV384;Zwolle;Zwolle;Zwolle;;Zwolle;;;;;;;;;
PROV385;Leeuwarden;Leeuwarden;Leeuwarden;;Leeuwarden;;;;;;;;;
PROV386;Assen;Assen;Assen;;Assen;;;;;;;;;
PROV391;Hasselt;Hasselt;Hasselt;;Hasselt;;;;;;;;;
PROV392;Namur;Namur;Namur;;Namur;;;;;;;;;
PROV394;Charleroi;Charleroi;Charleroi;;Charleroi;;;;;;;;;
PROV395;Li銶e;Li銶e;Liege;;Lieja;;;;;;;;;
PROV397;Luxembourg;Luxembourg;Luxemburg;;Luxemburgo;;;;;;;;;
PROV399;Lille;Lille;Lille;;Lille;;;;;;;;;
PROV401;Arras;Arras;Arras;;Arras;;;;;;;;;
PROV402;Amiens;Amiens;Amiens;;Amiens;;;;;;;;;
PROV404;Cambrai;Cambrai;Cambrai;;Cambrai;;;;;;;;;
PROV405;Charleville;Charleville;Charleville;;Charleville;;;;;;;;;
PROV406;Troyes;Troyes;Troyes;;Troyes;;;;;;;;;
PROV407;Chaumont;Chaumont;Chaumont;;Chaumont;;;;;;;;;
PROV409;Strasbourg;Strasbourg;Strasbourg;;Estrasburgo;;;;;;;;;
PROV410;Colmar;Colmar;Colmar;;Colmar;;;;;;;;;
PROV411;Nancy;Nancy;Nancy;;Nancy;;;;;;;;;
PROV412;Metz;Metz;Metz;;Metz;;;;;;;;;
PROV413;Verdun;Verdun;Verdun;;Verd;;;;;;;;;
PROV414;夗inal;夗inal;Epinal;;Epinal;;;;;;;;;
PROV416;屴reux;屴reux;Evreux;;Evreux;;;;;;;;;
PROV417;Alen蔞n;Alen蔞n;Alencon;;Alencon;;;;;;;;;
PROV418;Caen;Caen;Caen;;Caen;;;;;;;;;
PROV419;Channel Islands;姤es Anglo-Normandes;Kanalinseln;;Islas del Canal;;;;;;;;;
PROV420;Brest;Brest;Brest;;Brest;;;;;;;;;
PROV421;St Brieuc;Saint-Brieuc;St Brieuc;;Saint-Brieuc;;;;;;;;;
PROV422;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;
PROV423;Nantes;Nantes;Nantes;;Nantes;;;;;;;;;
PROV424;Rennes;Rennes;Rennes;;Rennes;;;;;;;;;
PROV425;Paris;Paris;Paris;;Par疄;;;;;;;;;
PROV426;Chartres;Chartres;Chartres;;Chartres;;;;;;;;;
PROV427;Melun;Melun;Melun;;Melun;;;;;;;;;
PROV428;Dijon;Dijon;Dijon;;Dijon;;;;;;;;;
PROV429;Auxerre;Auxerre;Auxerre;;Auxerre;;;;;;;;;
PROV432;Besan蔞n;Besan蔞n;Besancon;;Besancon;;;;;;;;;
PROV434;Cholet;;;;;;;;;;;;;
PROV436;Le Mans;Le Mans;Le Mans;;Le Mans;;;;;;;;;
PROV437;La Roche;La Roche;La Roche;;La Roche;;;;;;;;;
PROV438;Orl嶧ns;Orl嶧ns;Orleans;;Orleans;;;;;;;;;
PROV439;Bourges;Bourges;Bourges;;Bourges;;;;;;;;;
PROV440;Blois;Blois;Blois;;Blois;;;;;;;;;
PROV441;Tours;Tours;Tours;;Tours;;;;;;;;;
PROV442;La Rochelle;La Rochelle;La Rochelle;;La Rochela;;;;;;;;;
PROV443;Poitiers;Poitiers;Poitiers;;Poitiers;;;;;;;;;
PROV444;Angoul瘱e;Angoul瘱e;Angouleme;;Angouleme;;;;;;;;;
PROV445;Limoges;Limoges;Limoges;;Limoges;;;;;;;;;
PROV448;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;;Clermont-Ferrand;;;;;;;;;
PROV449;Aurillac;Aurillac;Aurillac;;Aurillac;;;;;;;;;
PROV450;Cahors;Cahors;Cahors;;Cahors;;;;;;;;;
PROV453;Valence;Valence;Valence;;Valence;;;;;;;;;
PROV454;Grenoble;Grenoble;Grenoble;;Grenoble;;;;;;;;;
PROV455;Toulouse;Toulouse;Toulouse;;Toulouse;;;;;;;;;
PROV456;Montauban;Montauban;Montauban;;Montauban;;;;;;;;;
PROV458;Bordeaux;Bordeaux;Bordeaux;;Burdeos;;;;;;;;;
PROV460;Pau;Pau;Pau;;Pau;;;;;;;;;
PROV461;Montpellier;Montpellier;Montpellier;;Montpellier;;;;;;;;;
PROV462;Rodez;Rodez;Rodez;;Rodez;;;;;;;;;
PROV464;Perpignan;Perpignan;Perpignan;;Perpi鼁n;;;;;;;;;
PROV465;Annecy;Annecy;Annecy;;Annecy;;;;;;;;;
PROV466;Sciamberi;Sciamberi;Sciamberi;;Sciamberi;;;;;;;;;
PROV467;Marseilles;Marseille;Marseilles;;Marsella;;;;;;;;;
PROV469;Digne;Digne;Digne;;Digne;;;;;;;;;
PROV470;Toulon;Toulon;Toulon;;Tol鏮;;;;;;;;;
PROV472;Nizza;Nizza;Nizza;;Nizza;;;;;;;;;
PROV473;Corsica;Corse;Corsica;;C鏎cega;;;;;;;;;
PROV474;La Coru鎙;La Corogne;La Coruna;;La Coru鎙;;;;;;;;;
PROV475;Oviedo;Oviedo;Oviedo;;Oviedo;;;;;;;;;
PROV476;Vigo;Vigo;Vigo;;Vigo;;;;;;;;;
PROV477;Le鏮;Le鏮;Leon;;Le鏮;;;;;;;;;
PROV478;Santander;Santander;Santander;;Santander;;;;;;;;;
PROV479;Burgos;Burgos;Burgos;;Burgos;;;;;;;;;
PROV480;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;
PROV481;Soria;Soria;Soria;;Soria;;;;;;;;;
PROV482;Salamanca;Salamanque;Salamanca;;Salamanca;;;;;;;;;
PROV483;臀ila;Avila;Avila;;臀ila;;;;;;;;;
PROV484;Badajoz;Badajoz;Badajoz;;Badajoz;;;;;;;;;
PROV485;Almendralejo;Almendralejo;Almendralejo;;Almendralejo;;;;;;;;;
PROV486;C塶eres;Caceres;Caceres;;C塶eres;;;;;;;;;
PROV487;Madrid;Madrid;Madrid;;Madrid;;;;;;;;;
PROV488;Signza;Signza;Siguenza;;Signza;;;;;;;;;
PROV489;Toledo;Tol鋄e;Toledo;;Toledo;;;;;;;;;
PROV490;Cuenca;Cuenca;Cuenca;;Cuenca;;;;;;;;;
PROV491;Ciudad Real;Ciudad Real;Ciudad Real;;Ciudad Real;;;;;;;;;
PROV492;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;
PROV493;Pamplona;Pampelune;Pamplona;;Pamplona;;;;;;;;;
PROV494;Logro隳;Logro隳;Logrono;;Logro隳;;;;;;;;;
PROV495;Zaragoza;Saragosse;Saragosa;;Zaragoza;;;;;;;;;
PROV496;Huesca;Huesca;Huesca;;Huesca;;;;;;;;;
PROV497;Teruel;Teruel;Teruel;;Teruel;;;;;;;;;
PROV498;Barcelona;Barcelone;Barcelona;;Barcelona;;;;;;;;;
PROV499;Gerona;G廨one;Gerona;;Gerona;;;;;;;;;
PROV500;L廨ida;Lerida;Lerida;;L廨ida;;;;;;;;;
PROV501;Tarragona;Tarragone;Tarragona;;Tarragona;;;;;;;;;
PROV502;Balearic Islands;姤es Bal嶧res;Balearen;;Islas Baleares;;;;;;;;;
PROV503;Valencia;Valence;Valencia;;Valencia;;;;;;;;;
PROV504;Castell鏮;Castell鏮;Castellon;;Castell鏮;;;;;;;;;
PROV505;Alicante;Alicante;Alicante;;Alicante;;;;;;;;;
PROV506;Cartagena;Carthag鋝e;Cartagena;;Cartagena;;;;;;;;;
PROV507;Murcia;Murcie;Murcia;;Murcia;;;;;;;;;
PROV508;Albacete;Albacete;Albacete;;Albacete;;;;;;;;;
PROV510;C鏎doba;Cordoue;Cordoba;;C鏎doba;;;;;;;;;
PROV511;Huelva;Huelva;Huelva;;Huelva;;;;;;;;;
